package_name,target,exists,unpublished,published,removed,latest_version,number_of_versions,downloads
-gzip-ize,gzip-size,True,False,2022-08-18 15:50:28.607000+00:00,2022-08-19 08:16:27.001000+00:00,1.2.0,1,178.0
-harseurl,parseurl,True,False,2022-08-18 15:50:34.620000+00:00,2022-08-19 08:16:32.913000+00:00,1.2.0,1,171.0
-redux-forjm,redux-form,True,False,2022-08-18 16:02:49.564000+00:00,2022-08-19 08:37:58.859000+00:00,1.2.0,1,176.0
1y8n,y18n,True,True,2022-10-02 13:06:34.031000+00:00,2022-10-02 14:55:16.402000+00:00,5.0.8,1,
5rn,rn,True,False,2022-08-18 14:53:38.693000+00:00,2022-08-19 03:58:22.923000+00:00,1.2.0,1,55.0
5string,string,True,False,2022-08-18 15:38:17.530000+00:00,2022-08-19 07:49:32.323000+00:00,1.2.0,1,54.0
6jestlr,jest,True,False,2022-08-18 14:53:41.627000+00:00,2022-08-19 03:58:25.712000+00:00,1.2.0,1,57.0
7unzp,unzip,True,False,2022-08-18 14:53:46.690000+00:00,2022-08-19 03:58:31.170000+00:00,1.2.0,1,58.0
9args,args,True,False,2022-08-18 14:53:49.848000+00:00,2022-08-19 03:58:33.708000+00:00,1.2.0,1,59.0
9mz,mz,True,False,2022-08-18 14:53:52.645000+00:00,2022-08-19 03:58:36.180000+00:00,1.2.0,1,56.0
ahs-flag,has-flag,True,True,2022-10-02 13:33:06.334000+00:00,2022-10-02 14:55:45.006000+00:00,5.0.1,1,
ahtts,https,True,False,2022-08-18 14:54:10.337000+00:00,2022-08-19 03:58:44.114000+00:00,1.2.0,1,29.0
amelcsxe,camelcase,True,False,2022-08-18 14:54:17.337000+00:00,2022-08-19 03:58:49.869000+00:00,1.2.0,1,33.0
anmyatch,anymatch,True,True,2022-10-02 13:03:36.769000+00:00,2022-10-02 14:55:12.065000+00:00,3.1.2,1,
ansi-ergex,ansi-regex,True,True,2022-10-02 13:29:53.190000+00:00,2022-10-02 14:55:41.980000+00:00,6.0.1,1,
ansi-reegx,ansi-regex,True,True,2022-10-02 13:30:24.526000+00:00,2022-10-02 14:55:43.478000+00:00,6.0.1,1,
ansi-regxe,ansi-regex,True,True,2022-10-02 13:30:35.154000+00:00,2022-10-02 14:55:44.263000+00:00,6.0.1,1,
ansi-rgeex,ansi-regex,True,True,2022-10-02 13:30:03.922000+00:00,2022-10-02 14:55:42.822000+00:00,6.0.1,1,
ansiescapeks,ansi-escape,True,False,2022-08-18 14:54:33.088000+00:00,2022-08-19 03:59:01.507000+00:00,1.2.0,1,30.0
anyamtch,anymatch,True,True,2022-10-02 13:03:49.244000+00:00,2022-10-02 14:55:12.958000+00:00,3.1.2,1,
anymacth,anymatch,True,True,2022-10-02 13:04:13.606000+00:00,2022-10-02 14:55:14.976000+00:00,3.1.2,1,
anymathc,anymatch,True,True,2022-10-02 13:04:26.656000+00:00,2022-10-02 14:55:15.670000+00:00,3.1.2,1,
anymtach,anymatch,True,True,2022-10-02 13:04:03.557000+00:00,2022-10-02 14:55:13.729000+00:00,3.1.2,1,
apollocli8ent,apollo-client,True,False,2022-08-18 14:54:37.057000+00:00,2022-08-19 03:59:04.441000+00:00,1.2.0,1,31.0
apollxo-clfient,apollo-client,True,False,2022-08-18 15:38:59.152000+00:00,2022-08-19 07:49:53.971000+00:00,1.2.0,1,32.0
apth-exists,path-exists,True,False,2022-08-18 15:39:05.103000+00:00,2022-08-19 07:49:56.715000+00:00,1.2.0,1,31.0
asni-regex,ansi-regex,True,True,2022-10-02 13:29:31.970000+00:00,2022-10-02 14:55:40.519000+00:00,6.0.1,1,
autoprefirx,autoprefix,True,False,2022-08-18 14:54:53.343000+00:00,2022-08-19 03:59:15.458000+00:00,1.2.0,1,33.0
aynmatch,anymatch,True,True,2022-10-02 13:03:23.913000+00:00,2022-10-02 14:55:11.151000+00:00,3.1.2,1,
bab3el-regyster,babel-register,True,False,2022-08-18 15:39:34.351000+00:00,2022-08-19 07:50:07.671000+00:00,1.2.0,1,42.0
babel-plugin-transfvrm-rvntime,@babel/plugin-transform-runtime,True,False,2022-08-18 15:40:00.741000+00:00,2022-08-19 07:50:18.595000+00:00,1.2.0,1,31.0
babel-polyflil,babel-polyfill,True,False,2022-08-18 15:40:12.540000+00:00,2022-08-19 07:50:21.286000+00:00,1.2.0,1,38.0
babel-preset-reatc,babel-preset-react,True,False,2022-08-18 15:40:18.749000+00:00,2022-08-19 07:50:24.697000+00:00,1.2.0,1,35.0
babelspolyfil,babel-polyfill,True,False,2022-08-18 14:56:10.239000+00:00,2022-08-19 04:00:23.623000+00:00,1.2.0,1,39.0
babetyopes,babel-types,True,False,2022-08-18 14:56:21.262000+00:00,2022-08-19 04:00:42.268000+00:00,1.2.0,1,38.0
baeltraverse,babel-traverse,True,False,2022-08-18 14:56:39.452000+00:00,2022-08-19 04:01:17.174000+00:00,1.2.0,1,33.0
baseu64js,base64-js,True,False,2022-08-18 14:56:44.281000+00:00,2022-08-19 04:01:29.061000+00:00,1.2.0,1,41.0
bconffee-script,coffee-script,True,False,2022-08-18 15:40:57.821000+00:00,2022-08-19 07:50:47.583000+00:00,1.2.0,1,31.0
bn.sj,bn.js,True,False,2022-08-18 15:41:18.461000+00:00,2022-08-19 07:51:02.002000+00:00,1.2.0,1,27.0
bodyfpvarser,body-parser,True,False,2022-08-18 14:57:17.725000+00:00,2022-08-19 04:02:11.761000+00:00,1.2.0,1,34.0
bootlstap,bootstrap,True,False,2022-08-18 14:57:20.214000+00:00,2022-08-19 04:02:17.073000+00:00,1.2.0,1,42.0
browsersilst,browserslist,True,False,2022-08-18 14:57:37.577000+00:00,2022-08-19 04:02:41.908000+00:00,1.2.0,1,32.0
brsolve-from,resolve-from,True,False,2022-08-18 15:41:39.533000+00:00,2022-08-19 07:51:11.047000+00:00,1.2.0,1,35.0
bryp4t,bcrypt,True,False,2022-08-18 14:57:40.471000+00:00,2022-08-19 04:02:47.836000+00:00,1.2.0,1,31.0
bubird,bluebird,True,False,2022-08-18 15:41:42.229000+00:00,2022-08-19 07:51:13.939000+00:00,1.2.0,1,34.0
bytebufevr,bytebuffer,True,False,2022-08-18 15:41:57.800000+00:00,2022-08-19 07:51:26.959000+00:00,1.2.0,1,30.0
c6lipboady,clipboard,True,False,2022-08-18 15:42:00.503000+00:00,2022-08-19 07:51:32.063000+00:00,1.2.0,1,35.0
ca-bucky-client,bucky,True,False,2022-07-13 08:06:00.640000+00:00,2022-09-19 21:27:19.420000+00:00,0.0.2,22,27.0
cam.flcase,camelcase,True,False,2022-08-18 15:42:05.044000+00:00,2022-08-19 07:51:38.179000+00:00,1.2.0,1,30.0
canavs,canvas,True,False,2022-08-18 15:42:07.333000+00:00,2022-08-19 07:51:42.303000+00:00,1.2.0,1,71.0
changcase,change-case,True,False,2022-08-18 14:58:19.491000+00:00,2022-08-19 04:03:20.240000+00:00,1.2.0,1,33.0
chokdazr,chokidar,True,False,2022-08-18 15:42:34.802000+00:00,2022-08-19 07:52:07.845000+00:00,1.2.0,1,30.0
cli-tabkle2,cli-table2,True,False,2022-08-18 15:43:13.986000+00:00,2022-08-19 07:52:29.907000+00:00,1.2.0,1,38.0
clipobard,clipboard,True,False,2022-08-18 15:42:55.294000+00:00,2022-08-19 07:52:21.098000+00:00,1.2.0,1,32.0
clpiboard,clipboard,True,False,2022-08-18 14:58:46.577000+00:00,2022-08-19 04:03:41.053000+00:00,1.2.0,1,40.0
clpiboardy,clipboard,True,False,2022-08-18 14:58:49.467000+00:00,2022-08-19 04:03:44.350000+00:00,1.2.0,1,37.0
cmmande,commander,True,False,2022-08-18 15:43:28.891000+00:00,2022-08-19 07:52:34.252000+00:00,1.2.0,1,40.0
colors-2.2.0,colors,True,True,2022-03-09 08:01:31.207000+00:00,2022-03-10 16:46:10.517000+00:00,1.0.0,1,
colors-3.0,colors,True,False,2022-03-05 18:43:32.873000+00:00,2022-03-10 16:44:03.693000+00:00,1.0.0,1,99.0
colors-help,colors,True,False,2022-04-30 03:24:05.788000+00:00,2022-05-03 08:31:27.768000+00:00,1.4.0,1,73.0
colors-helper,colors,True,False,2022-04-30 14:01:19.902000+00:00,2022-05-03 08:31:30.095000+00:00,1.4.0,1,70.0
colors-support,colors,True,False,2022-05-08 04:28:42.051000+00:00,2022-06-01 09:02:14.682000+00:00,1.5.3,1,87.0
colors-update,colors,True,False,2022-05-07 02:10:23.336000+00:00,2022-05-16 07:04:55.997000+00:00,2.0.0,6,87.0
colors2.0,colors,True,False,2021-11-21 21:58:54.128000+00:00,2022-03-10 16:16:16.874000+00:00,2.0.0,2,93.0
colors_express,colors,True,False,2022-04-29 05:17:21.196000+00:00,2022-05-31 11:55:07.312000+00:00,1.4.5,1,87.0
colorsss,colors,True,False,2022-03-05 08:05:29.249000+00:00,2022-03-10 16:50:10.423000+00:00,0.0.2,2,104.0
comnader,commander,True,False,2022-08-18 14:59:20.702000+00:00,2022-08-19 04:04:02.067000+00:00,1.2.0,1,36.0
concatstr6eam,concat-stream,True,False,2022-08-18 14:59:28.674000+00:00,2022-08-19 04:04:07.902000+00:00,1.2.0,1,32.0
cooieparser,cookie-parser,True,False,2022-08-18 14:59:50.107000+00:00,2022-08-19 04:04:22.237000+00:00,1.2.0,1,32.0
copressio,compression,True,False,2022-08-18 14:59:52.874000+00:00,2022-08-19 04:04:24.853000+00:00,1.2.0,1,30.0
create-hshs,create-hash,True,False,2022-08-18 15:44:22.547000+00:00,2022-08-19 07:52:49.521000+00:00,1.2.0,1,36.0
creathash,create-hash,True,False,2022-08-18 15:00:13.433000+00:00,2022-08-19 04:04:39.747000+00:00,1.2.0,1,37.0
crossfetkh,cross-fetch,True,False,2022-08-18 15:00:27.783000+00:00,2022-08-19 04:04:51.193000+00:00,1.2.0,1,30.0
crypt-osj,crypto-js,True,False,2022-08-18 15:44:32.128000+00:00,2022-08-19 07:52:52.240000+00:00,1.2.0,1,29.0
czss,css,True,False,2022-08-18 15:00:57.077000+00:00,2022-08-19 04:05:11.350000+00:00,1.2.0,1,29.0
db-json.js,db-json,True,False,2020-11-30 18:13:33.767000+00:00,2020-11-30 18:15:28.860000+00:00,1.0.3,2,330.0
deepdif,deep-diff,True,False,2022-08-18 15:01:33.888000+00:00,2022-08-19 04:05:36.663000+00:00,1.2.0,1,27.0
deepemrge,deepmerge,True,False,2022-08-18 15:45:08.673000+00:00,2022-08-19 07:53:13.072000+00:00,1.2.0,1,29.0
deepqeul,deep-equal,True,False,2022-08-18 15:01:41.215000+00:00,2022-08-19 04:05:41.963000+00:00,1.2.0,1,27.0
detectpert,detect-port,True,False,2022-08-18 15:45:13.428000+00:00,2022-08-19 07:53:15.794000+00:00,1.2.0,1,29.0
deubg,debug,True,True,2019-04-04 13:31:05.496000+00:00,2022-10-02 14:55:23.691000+00:00,4.3.4,2,
discord.dll,discord.js,True,False,2020-11-09 23:39:11.918000+00:00,2020-11-09 23:39:51.562000+00:00,1.0.0,1,360.0
dlscordjs,discord.js,True,False,2022-08-18 15:02:01.241000+00:00,2022-08-19 04:05:56.108000+00:00,1.2.0,1,27.0
dom-seriaiizer,dom-serializer,True,True,2022-08-21 13:30:16.417000+00:00,2022-08-22 03:53:14.082000+00:00,1.2.0,1,
dowloa,download,True,False,2022-08-18 15:45:27.590000+00:00,2022-08-19 07:53:21.554000+00:00,1.2.0,1,31.0
drftjs,draft-js,True,False,2022-08-18 15:02:25.078000+00:00,2022-08-19 04:06:08.128000+00:00,1.2.0,1,38.0
dsfcord.js,discord.js,True,False,2022-08-18 15:45:32.503000+00:00,2022-08-19 07:53:24.389000+00:00,1.2.0,1,30.0
dtemv,temp,True,False,2022-08-18 15:02:30.710000+00:00,2022-08-19 04:06:11.056000+00:00,1.2.0,1,33.0
duplex-child-orocess,duplex-child-process,True,False,2022-08-16 15:44:17.194000+00:00,2022-08-19 08:45:42.713000+00:00,8.1.2,6,33.0
duplex-child-rocess,duplex-child-process,True,False,2022-08-18 22:49:39.494000+00:00,2022-08-19 08:45:47.937000+00:00,8.1.2,1,33.0
eact-routre,react-router,True,False,2022-08-18 15:45:44.355000+00:00,2022-08-19 07:53:33.710000+00:00,1.2.0,1,31.0
edbug,debug,True,True,2019-04-04 13:30:51.928000+00:00,2022-10-02 14:55:22.856000+00:00,4.3.4,2,
elecrof,electron,True,False,2022-08-18 15:03:09.392000+00:00,2022-08-19 04:06:39.384000+00:00,1.2.0,1,41.0
electorn,electron,True,False,2020-10-01 16:29:45.672000+00:00,2020-10-01 16:30:27.584000+00:00,10.0.0,1,4134.0
elfecteron,electron,True,False,2022-08-18 15:46:03.934000+00:00,2022-08-19 08:13:19.137000+00:00,1.2.0,1,29.0
enden,endent,True,False,2022-08-18 12:33:59.434000+00:00,2022-08-19 03:54:47.058000+00:00,4.5.22,1,31.0
endnet,endent,True,False,2022-08-18 12:34:15.051000+00:00,2022-08-19 03:54:49.839000+00:00,4.5.22,1,26.0
es-int-pluginr-prettier,eslint-plugin-prettier,True,False,2022-08-18 15:46:47.477000+00:00,2022-08-19 08:13:51.128000+00:00,1.2.0,1,28.0
es68prumise,es6-promise,True,False,2022-08-18 15:03:38.306000+00:00,2022-08-19 04:07:02.865000+00:00,1.2.0,1,26.0
es9-prhmise,es6-promise,True,False,2022-08-18 15:46:44.609000+00:00,2022-08-19 08:13:45.273000+00:00,1.2.0,1,38.0
eslint-plugin-reatc,eslint-plugin-react,True,False,2022-08-18 15:47:10.281000+00:00,2022-08-19 08:14:19.418000+00:00,1.2.0,1,36.0
esrtaverse,estraverse,True,True,2022-10-02 13:47:20.310000+00:00,2022-10-02 14:56:10.572000+00:00,5.3.0,1,
estarverse,estraverse,True,True,2022-10-02 13:47:29.642000+00:00,2022-10-02 14:56:11.412000+00:00,5.3.0,1,
estraevrse,estraverse,True,True,2022-10-02 13:47:51.246000+00:00,2022-10-02 14:56:12.916000+00:00,5.3.0,1,
estravesre,estraverse,True,True,2022-10-02 13:48:31.686000+00:00,2022-10-02 14:56:14.313000+00:00,5.3.0,1,
estravrese,estraverse,True,True,2022-10-02 13:48:21.001000+00:00,2022-10-02 14:56:13.547000+00:00,5.3.0,1,
estrvaerse,estraverse,True,True,2022-10-02 13:47:39.510000+00:00,2022-10-02 14:56:12.071000+00:00,5.3.0,1,
etsraverse,estraverse,True,True,2022-10-02 13:47:11.317000+00:00,2022-10-02 14:56:09.816000+00:00,5.3.0,1,
euirejs,requirejs,True,False,2022-08-18 15:04:51.946000+00:00,2022-08-19 04:08:06.284000+00:00,1.2.0,1,33.0
evelu,eval,True,False,2022-08-18 15:04:54.810000+00:00,2022-08-19 04:08:08.992000+00:00,1.2.0,1,33.0
ewbidl-conversions,webidl-conversions,True,True,2022-10-02 12:45:37.439000+00:00,2022-10-02 14:54:51.013000+00:00,2.0.0,1,
ex6error,es6-error,True,False,2022-08-18 15:05:04.244000+00:00,2022-08-19 04:08:11.888000+00:00,1.2.0,1,35.0
extned,extend,True,False,2022-08-18 15:05:18.186000+00:00,2022-08-19 04:08:25.991000+00:00,1.2.0,1,39.0
extratazip,extract-zip,True,False,2022-08-18 15:05:24.868000+00:00,2022-08-19 04:08:31.852000+00:00,1.2.0,1,31.0
foermdata,form-data,True,False,2022-08-18 15:06:15.829000+00:00,2022-08-19 04:09:16.437000+00:00,1.2.0,1,34.0
foever,forever,True,False,2019-05-30 03:05:24.143000+00:00,2019-05-30 03:21:49.185000+00:00,1.0.0,1,762.0
follow-rdeirects,follow-redirects,True,False,2022-08-18 15:48:20.467000+00:00,2022-08-19 08:15:02.889000+00:00,1.2.0,1,22.0
font-awesomwu,font-awesome,True,False,2022-08-18 15:48:23.095000+00:00,2022-08-19 08:15:06.156000+00:00,1.2.0,1,31.0
foptaweome,font-awesome,True,False,2022-08-18 15:06:24.302000+00:00,2022-08-19 04:09:25.113000+00:00,1.2.0,1,34.0
froever,forever,True,False,2019-05-30 03:05:52.968000+00:00,2019-05-30 03:25:37.060000+00:00,1.0.0,1,481
ginore,ignore,True,True,2022-10-02 13:09:04.819000+00:00,2022-10-02 14:55:18.894000+00:00,5.2.0,1,
glbo-parent,glob-parent,True,True,2022-10-02 13:44:13.340000+00:00,2022-10-02 14:56:04.870000+00:00,6.0.2,1,
glob-paernt,glob-parent,True,True,2022-10-02 13:44:47.347000+00:00,2022-10-02 14:56:06.939000+00:00,6.0.2,1,
glob-paretn,glob-parent,True,True,2022-10-02 13:45:30.516000+00:00,2022-10-02 14:56:08.401000+00:00,6.0.2,1,
glob-praent,glob-parent,True,True,2022-10-02 13:44:36.357000+00:00,2022-10-02 14:56:06.210000+00:00,6.0.2,1,
golb-parent,glob-parent,True,True,2022-10-02 13:44:00.785000+00:00,2022-10-02 14:56:04.080000+00:00,6.0.2,1,
good-listene,good-listener,True,False,2022-08-18 12:36:22.910000+00:00,2022-08-19 03:55:09.629000+00:00,4.5.22,1,26.0
googleaips,googleapis,True,False,2022-08-18 15:07:38.502000+00:00,2022-08-19 04:10:22.608000+00:00,1.2.0,1,36.0
graymatte5r,gray-matter,True,False,2022-08-18 15:07:48.385000+00:00,2022-08-19 04:10:31.384000+00:00,1.2.0,1,31.0
grayq-mater,gray-matter,True,False,2022-08-18 15:49:14.917000+00:00,2022-08-19 08:15:38.758000+00:00,1.2.0,1,31.0
gular,angular,True,False,2022-08-18 15:49:38.881000+00:00,2022-08-19 08:15:53.345000+00:00,1.2.0,1,33.0
gulpuil,gulp-util,True,False,2022-08-18 15:09:05.256000+00:00,2022-08-19 04:11:32.415000+00:00,1.2.0,1,43.0
gup-conca,gulp-concat,True,False,2022-08-18 15:50:19.628000+00:00,2022-08-19 08:16:18.876000+00:00,1.2.0,1,35.0
gxqobal,global,True,False,2022-08-18 15:50:24.949000+00:00,2022-08-19 08:16:24.403000+00:00,1.2.0,1,34.0
has-falg,has-flag,True,True,2022-10-02 13:33:36.855000+00:00,2022-10-02 14:55:47.253000+00:00,5.0.1,1,
has-lfag,has-flag,True,True,2022-10-02 13:33:27.832000+00:00,2022-10-02 14:55:46.539000+00:00,5.0.1,1,
highlighjtjs,highlight.js,True,False,2022-08-18 15:09:55.071000+00:00,2022-08-19 06:35:07.539000+00:00,1.2.0,1,28.0
